ds,y
2016-06-15,4.285714285714286
2016-06-16,16.6
2016-06-17,11.6
2016-06-20,27.875
2016-06-21,6.125
2016-06-22,13.4
2016-06-23,11.6
2016-06-24,53.8
2016-06-27,15.0
2016-06-28,61.714285714285715
2016-06-29,19.833333333333332
2016-06-30,8.625
2016-07-01,47.833333333333336
2016-07-05,31.1
2016-07-06,7.2
2016-07-07,43.666666666666664
2016-07-08,12.333333333333334
2016-07-11,3.3333333333333335
2016-07-12,38.0
2016-07-13,72.0
2016-07-14,22.833333333333332
2016-07-15,0.3333333333333333
2016-07-18,3.4285714285714284
2016-07-19,5.875
2016-07-20,21.875
2016-07-21,14.625
2016-07-22,21.571428571428573
2016-07-25,35.75
2016-07-26,12.0
2016-07-27,54.6
2016-07-28,36.0
2016-07-29,28.666666666666668
2016-08-01,23.2
2016-08-02,40.0
2016-08-03,33.84615384615385
2016-08-04,32.69230769230769
2016-08-05,23.5
2016-08-08,9.6
2016-08-09,25.5
2016-08-10,4.4
2016-08-11,4.0
2016-08-12,54.166666666666664
2016-08-15,28.666666666666668
2016-08-16,13.6
2016-08-17,43.61538461538461
2016-08-18,14.0
2016-08-19,0.0
2016-08-22,20.333333333333332
2016-08-23,19.333333333333332
2016-08-24,8.083333333333334
2016-08-25,12.0
2016-08-26,66.66666666666667
2016-08-29,28.636363636363637
2016-08-30,93.375
2016-08-31,9.666666666666666
2016-09-01,1.0
2016-09-02,13.5
2016-09-06,44.0
2016-09-07,32.55555555555556
2016-09-08,31.636363636363637
2016-09-09,13.75
2016-09-10,8.0
2016-09-12,13.4
2016-09-13,36.857142857142854
2016-09-14,80.52941176470588
2016-09-15,0.0
2016-09-16,59.57142857142857
2016-09-17,39.0
2016-09-19,25.571428571428573
2016-09-20,0.6666666666666666
2016-09-21,44.78947368421053
2016-09-22,40.111111111111114
2016-09-23,42.8
2016-09-26,54.875
2016-09-27,16.428571428571427
2016-09-28,2.6153846153846154
2016-09-29,21.555555555555557
2016-09-30,39.666666666666664
2016-10-03,0.8
2016-10-04,71.08333333333333
2016-10-05,118.0
2016-10-06,78.66666666666667
2016-10-07,18.0
2016-10-10,3.6666666666666665
2016-10-11,76.375
2016-10-12,18.77777777777778
2016-10-13,5.333333333333333
2016-10-14,22.666666666666668
2016-10-17,2.875
2016-10-18,9.083333333333334
2016-10-19,13.625
2016-10-20,81.75
2016-10-21,24.555555555555557
2016-10-24,27.25
2016-10-25,23.857142857142858
2016-10-26,1.75
2016-10-27,27.333333333333332
2016-10-28,28.142857142857142
2016-10-31,14.0
2016-11-01,6.142857142857143
2016-11-02,33.0
2016-11-03,13.0
2016-11-04,39.72727272727273
2016-11-07,17.142857142857142
2016-11-08,37.0
2016-11-09,62.111111111111114
2016-11-10,51.7
2016-11-11,100.66666666666667
2016-11-14,48.333333333333336
2016-11-15,28.333333333333332
2016-11-16,69.83333333333333
2016-11-17,48.45454545454545
2016-11-18,41.0
2016-11-21,24.22222222222222
2016-11-22,9.0
2016-11-23,87.71428571428571
2016-11-25,80.0
2016-11-28,36.84615384615385
2016-11-29,29.714285714285715
2016-11-30,23.5
2016-12-01,19.545454545454547
2016-12-02,11.25
2016-12-05,2.111111111111111
2016-12-06,8.4
2016-12-07,8.857142857142858
2016-12-08,68.0
2016-12-09,60.375
2016-12-12,27.333333333333332
2016-12-13,46.666666666666664
2016-12-14,37.833333333333336
2016-12-15,40.4
2016-12-16,11.6
2016-12-19,1.2
2016-12-20,51.5
2016-12-21,53.8
2016-12-22,76.2
2016-12-23,7.571428571428571
2016-12-27,35.4
2016-12-28,5.5
2016-12-29,19.142857142857142
2016-12-30,12.75
2017-01-03,43.416666666666664
2017-01-04,45.0
2017-01-05,25.823529411764707
2017-01-06,50.333333333333336
2017-01-09,39.0
2017-01-10,81.33333333333333
2017-01-11,11.0
2017-01-12,56.55555555555556
2017-01-13,30.733333333333334
2017-01-16,39.0
2017-01-17,74.75
2017-01-18,50.583333333333336
2017-01-19,3.0
2017-01-20,25.058823529411764
2017-01-21,159.0
2017-01-23,0.0
2017-01-24,39.77777777777778
2017-01-25,30.7
2017-01-26,74.0
2017-01-27,80.33333333333333
2017-01-30,7.714285714285714
2017-01-31,95.375
2017-02-01,17.25
2017-02-02,53.333333333333336
2017-02-03,92.0
2017-02-06,25.0
2017-02-07,87.2
2017-02-08,21.22222222222222
2017-02-09,46.375
2017-02-10,30.714285714285715
2017-02-13,50.8
2017-02-14,19.2
2017-02-15,26.857142857142858
2017-02-16,47.0
2017-02-17,14.23076923076923
2017-02-21,28.1
2017-02-22,39.0
2017-02-23,37.833333333333336
2017-02-24,58.333333333333336
2017-02-27,1.125
2017-02-28,10.0
