ds,t,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,seasonal_lower,seasonal_upper,yearly,yearly_lower,yearly_upper,seasonal,yhat
2015-08-03,0.0,2.083929334480039,1.4336809018280552,2.8758762607575137,2.083929334480039,2.083929334480039,0.07329686760051111,0.07329686760051111,0.07329686760051111,0.07329686760051111,0.07329686760051111,0.07329686760051111,2.15722620208055
2015-08-04,0.0017391304347826088,2.083907622834108,1.4825956732588286,2.908802241619245,2.083907622834108,2.083907622834108,0.07848626095096639,0.07848626095096639,0.07848626095096639,0.07848626095096639,0.07848626095096639,0.07848626095096639,2.1623938837850742
2015-08-05,0.0034782608695652175,2.0838859111881765,1.379223119477578,2.8409180910167335,2.0838859111881765,2.0838859111881765,0.08389000539118059,0.08389000539118059,0.08389000539118059,0.08389000539118059,0.08389000539118059,0.08389000539118059,2.167775916579357
2015-08-06,0.0052173913043478265,2.0838641995422456,1.462511249433675,2.8967903502380956,2.0838641995422456,2.0838641995422456,0.08939853253196099,0.08939853253196099,0.08939853253196099,0.08939853253196099,0.08939853253196099,0.08939853253196099,2.1732627320742064
2015-08-07,0.006956521739130435,2.0838424878963138,1.508470357010494,2.8975910755497276,2.0838424878963138,2.0838424878963138,0.0948894251401045,0.0948894251401045,0.0948894251401045,0.0948894251401045,0.0948894251401045,0.0948894251401045,2.1787319130364184
2015-08-10,0.01217391304347826,2.08377735295852,1.4639281010352754,2.87904048260277,2.08377735295852,2.08377735295852,0.10989881049800276,0.10989881049800276,0.10989881049800276,0.10989881049800276,0.10989881049800276,0.10989881049800276,2.193676163456523
2015-08-11,0.01391304347826087,2.083755641312589,1.4682340941899439,2.914100906607116,2.083755641312589,2.083755641312589,0.11394134420734245,0.11394134420734245,0.11394134420734245,0.11394134420734245,0.11394134420734245,0.11394134420734245,2.197696985519931
2015-08-12,0.01565217391304348,2.0837339296666575,1.4549375977567272,2.9368150582835266,2.0837339296666575,2.0837339296666575,0.11727056999075723,0.11727056999075723,0.11727056999075723,0.11727056999075723,0.11727056999075723,0.11727056999075723,2.2010044996574147
2015-08-13,0.017391304347826087,2.0837122180207266,1.512538233276045,2.9007214839150226,2.0837122180207266,2.0837122180207266,0.11975734461961397,0.11975734461961397,0.11975734461961397,0.11975734461961397,0.11975734461961397,0.11975734461961397,2.2034695626403407
2015-08-14,0.019130434782608695,2.083690506374795,1.4608512559421685,2.970168218558306,2.083690506374795,2.083690506374795,0.12128538168101044,0.12128538168101044,0.12128538168101044,0.12128538168101044,0.12128538168101044,0.12128538168101044,2.204975888055805
2015-08-17,0.02434782608695652,2.083625371437001,1.4432802747924116,2.939715096948614,2.083625371437001,2.083625371437001,0.11922584625511987,0.11922584625511987,0.11922584625511987,0.11922584625511987,0.11922584625511987,0.11922584625511987,2.202851217692121
2015-08-18,0.02608695652173913,2.08360365979107,1.4505711461917958,2.9352766438609166,2.08360365979107,2.08360365979107,0.11614064277156474,0.11614064277156474,0.11614064277156474,0.11614064277156474,0.11614064277156474,0.11614064277156474,2.1997443025626344
2015-08-19,0.02782608695652174,2.0835819481451385,1.4568399908094247,2.9026249271140214,2.0835819481451385,2.0835819481451385,0.11182905493681236,0.11182905493681236,0.11182905493681236,0.11182905493681236,0.11182905493681236,0.11182905493681236,2.1954110030819507
2015-08-20,0.029565217391304348,2.0835602364992076,1.5199645312990266,2.9098210829168956,2.0835602364992076,2.0835602364992076,0.10631710681584028,0.10631710681584028,0.10631710681584028,0.10631710681584028,0.10631710681584028,0.10631710681584028,2.189877343315048
2015-08-21,0.03130434782608696,2.083538524858461,1.4561205702615871,2.865406878167457,2.083538524858461,2.083538524858461,0.09965969796601112,0.09965969796601112,0.09965969796601112,0.09965969796601112,0.09965969796601112,0.09965969796601112,2.183198222824472
2015-08-24,0.036521739130434785,2.0834733899362217,1.4207088616733927,2.8894302643060286,2.0834733899362217,2.0834733899362217,0.07377862510417736,0.07377862510417736,0.07377862510417736,0.07377862510417736,0.07377862510417736,0.07377862510417736,2.157252015040399
2015-08-25,0.03826086956521739,2.0834516782954755,1.45737713812642,2.895181567646863,2.0834516782954755,2.0834516782954755,0.06362789780298916,0.06362789780298916,0.06362789780298916,0.06362789780298916,0.06362789780298916,0.06362789780298916,2.1470795760984647
2015-08-26,0.04,2.0834299666547293,1.4191310111195525,2.8467746458469345,2.0834299666547293,2.0834299666547293,0.05299017337723576,0.05299017337723576,0.05299017337723576,0.05299017337723576,0.05299017337723576,0.05299017337723576,2.136420140031965
2015-08-27,0.04173913043478261,2.083408255013983,1.4641063103758098,2.8378424079539206,2.083408255013983,2.083408255013983,0.04205339524154522,0.04205339524154522,0.04205339524154522,0.04205339524154522,0.04205339524154522,0.04205339524154522,2.1254616502555286
2015-08-28,0.043478260869565216,2.0833865433732366,1.3930056506899304,2.8356723317611094,2.0833865433732366,2.0833865433732366,0.031014456867416385,0.031014456867416385,0.031014456867416385,0.031014456867416385,0.031014456867416385,0.031014456867416385,2.114401000240653
2015-08-31,0.04869565217391304,2.083321408450998,1.382662250391275,2.7959547637752675,2.083321408450998,2.083321408450998,-7.198217851103542e-4,-7.198217851103542e-4,-7.198217851103542e-4,-7.198217851103542e-4,-7.198217851103542e-4,-7.198217851103542e-4,2.082601586665888
2015-09-01,0.050434782608695654,2.0832996968102515,1.3994661411340599,2.799183042860064,2.0832996968102515,2.0832996968102515,-0.01019988424011104,-0.01019988424011104,-0.01019988424011104,-0.01019988424011104,-0.01019988424011104,-0.01019988424011104,2.0730998125701405
