ds,y
2015-08-11,0.0
2015-08-27,0.6931471805599453
2015-08-31,0.0
2015-09-03,0.0
2015-09-14,0.0
2015-09-15,0.0
2015-09-16,0.0
2015-10-06,0.0
2015-11-23,3.784189633918261
2015-12-03,2.1972245773362196
2015-12-07,1.0986122886681098
2015-12-09,0.0
2015-12-11,0.0
2015-12-14,0.0
2015-12-16,0.6931471805599453
2015-12-17,0.0
2015-12-18,0.0
2015-12-21,1.0986122886681098
2015-12-29,0.0
2015-12-30,0.0
2016-01-04,1.6094379124341003
2016-01-06,0.0
2016-01-07,1.3862943611198906
2016-01-11,1.6094379124341003
2016-01-12,0.0
2016-01-15,0.6931471805599453
2016-01-19,0.0
2016-01-20,0.0
2016-01-22,0.0
2016-01-25,0.0
2016-01-26,0.0
2016-01-28,0.6931471805599453
2016-02-01,4.174387269895637
2016-02-02,1.0986122886681098
2016-02-03,0.0
2016-02-08,1.6094379124341003
2016-02-09,0.6931471805599453
2016-02-10,0.0
2016-02-11,0.0
2016-02-16,1.0986122886681098
2016-02-18,0.0
2016-02-19,0.6931471805599453
2016-02-22,0.6931471805599453
2016-02-25,0.6931471805599453
2016-02-26,1.3862943611198906
2016-02-29,0.0
2016-03-02,0.0
2016-03-03,2.3978952727983707
2016-03-04,0.0
2016-03-07,0.6931471805599453
2016-03-08,0.6931471805599453
2016-03-09,0.6931471805599453
2016-03-10,1.0986122886681098
2016-03-11,1.0986122886681098
2016-03-14,2.833213344056216
2016-03-15,1.3862943611198906
2016-03-16,2.0794415416798357
2016-03-17,2.4849066497880004
2016-03-18,2.6390573296152584
2016-03-21,2.8903717578961645
2016-03-22,2.9444389791664403
2016-03-23,3.295836866004329
2016-03-24,3.1780538303479458
2016-03-25,3.6375861597263857
2016-03-28,3.4011973816621555
2016-03-29,3.5263605246161616
2016-03-30,3.4339872044851463
2016-03-31,3.6375861597263857
2016-04-01,3.7376696182833684
2016-04-04,3.367295829986474
2016-04-05,4.394449154672439
2016-04-06,3.4657359027997265
2016-04-07,3.7612001156935624
2016-04-08,3.1780538303479458
2016-04-11,4.110873864173311
2016-04-12,3.784189633918261
2016-04-13,3.6375861597263857
2016-04-14,3.828641396489095
2016-04-15,3.4339872044851463
2016-04-18,3.5553480614894135
2016-04-19,4.060443010546419
2016-04-20,3.4965075614664802
2016-04-21,3.332204510175204
2016-04-22,3.332204510175204
2016-04-25,3.4339872044851463
2016-04-26,3.5263605246161616
2016-04-27,4.204692619390966
2016-04-28,3.970291913552122
2016-04-29,3.6109179126442243
2016-04-30,0.0
2016-05-02,4.143134726391533
2016-05-03,4.30406509320417
2016-05-04,3.8501476017100584
2016-05-05,4.543294782270004
2016-05-06,3.4965075614664802
2016-05-07,0.0
2016-05-09,4.02535169073515
2016-05-10,4.143134726391533
2016-05-11,4.564348191467836
2016-05-12,4.110873864173311
2016-05-13,4.143134726391533
2016-05-16,4.189654742026425
2016-05-17,3.5263605246161616
2016-05-18,4.30406509320417
2016-05-19,4.007333185232471
2016-05-20,3.713572066704308
2016-05-21,0.0
2016-05-23,4.04305126783455
2016-05-24,3.871201010907891
2016-05-25,4.219507705176107
2016-05-26,4.189654742026425
2016-05-27,4.110873864173311
2016-05-31,4.574710978503383
2016-06-01,4.465908118654584
2016-06-02,4.442651256490317
2016-06-03,4.04305126783455
2016-06-06,3.8501476017100584
2016-06-07,4.189654742026425
2016-06-08,4.07753744390572
2016-06-09,3.6109179126442243
2016-06-10,3.784189633918261
2016-06-13,3.970291913552122
2016-06-14,2.9444389791664403
2016-06-15,4.219507705176107
2016-06-16,4.02535169073515
2016-06-17,4.1588830833596715
2016-06-20,3.6375861597263857
2016-06-21,3.713572066704308
2016-06-22,4.290459441148391
2016-06-23,4.0943445622221
2016-06-24,3.970291913552122
2016-06-27,4.174387269895637
2016-06-28,4.174387269895637
2016-06-29,4.442651256490317
2016-06-30,4.406719247264253
2016-07-01,4.454347296253507
2016-07-05,4.5217885770490405
2016-07-06,4.290459441148391
2016-07-07,4.127134385045092
2016-07-08,4.2626798770413155
2016-07-11,3.8501476017100584
2016-07-12,4.110873864173311
2016-07-13,4.04305126783455
2016-07-14,4.007333185232471
2016-07-15,3.6635616461296463
2016-07-18,4.060443010546419
2016-07-19,2.995732273553991
2016-07-20,4.143134726391533
2016-07-21,4.04305126783455
2016-07-22,3.7376696182833684
2016-07-25,4.31748811353631
2016-07-26,3.58351893845611
2016-07-27,4.0943445622221
2016-07-28,4.189654742026425
2016-07-29,4.5217885770490405
2016-08-01,4.394449154672439
2016-08-02,3.5263605246161616
2016-08-03,4.624972813284271
2016-08-04,3.828641396489095
2016-08-05,3.8066624897703196
2016-08-08,4.430816798843313
2016-08-09,3.6888794541139363
2016-08-10,3.8918202981106265
2016-08-11,3.8066624897703196
2016-08-12,3.9889840465642745
2016-08-15,3.871201010907891
2016-08-16,4.04305126783455
2016-08-17,4.23410650459726
2016-08-18,3.4965075614664802
2016-08-19,3.7612001156935624
2016-08-22,4.07753744390572
2016-08-23,3.828641396489095
2016-08-24,3.970291913552122
2016-08-25,3.9512437185814275
2016-08-26,3.713572066704308
2016-08-29,3.9889840465642745
2016-08-30,4.605170185988092
2016-08-31,3.871201010907891
2016-09-01,4.276666119016055
2016-09-02,3.9889840465642745
2016-09-06,4.2626798770413155
2016-09-07,4.248495242049359
2016-09-08,4.574710978503383
2016-09-09,4.0943445622221
2016-09-12,4.007333185232471
2016-09-13,3.784189633918261
2016-09-14,4.290459441148391
2016-09-15,4.276666119016055
2016-09-16,4.07753744390572
