ds,y
2015-08-03,4.343805421853684
2015-08-04,3.713572066704308
2015-08-05,4.394449154672439
2015-08-06,3.713572066704308
2015-08-07,3.970291913552122
2015-08-10,3.7612001156935624
2015-08-11,3.58351893845611
2015-08-12,4.290459441148391
2015-08-13,3.044522437723423
2015-08-14,3.8066624897703196
2015-08-17,3.258096538021482
2015-08-18,2.5649493574615367
2015-08-19,3.58351893845611
2015-08-20,3.6375861597263857
2015-08-21,1.3862943611198906
2015-08-24,3.5553480614894135
2015-08-25,3.6109179126442243
2015-08-26,2.9444389791664403
2015-08-27,3.784189633918261
2015-08-28,3.970291913552122
2015-08-31,3.044522437723423
2015-09-01,3.970291913552122
2015-09-02,3.8918202981106265
2015-09-03,3.8501476017100584
2015-09-04,3.091042453358316
2015-09-08,3.9318256327243257
2015-09-09,3.8501476017100584
2015-09-10,2.9444389791664403
2015-09-11,3.4657359027997265
2015-09-14,4.060443010546419
2015-09-15,3.912023005428146
2015-09-16,3.258096538021482
2015-09-17,3.6109179126442243
2015-09-18,3.5263605246161616
2015-09-21,3.2188758248682006
2015-09-22,3.091042453358316
2015-09-23,4.189654742026425
2015-09-24,3.4657359027997265
2015-09-25,3.784189633918261
2015-09-28,3.295836866004329
2015-09-29,4.143134726391533
2015-09-30,3.367295829986474
2015-10-01,4.127134385045092
2015-10-02,4.04305126783455
2015-10-05,3.4339872044851463
2015-10-06,3.6635616461296463
2015-10-07,3.871201010907891
2015-10-08,3.8918202981106265
2015-10-09,3.5263605246161616
2015-10-12,4.04305126783455
2015-10-13,3.4011973816621555
2015-10-14,3.6109179126442243
2015-10-15,3.044522437723423
2015-10-16,3.6888794541139363
2015-10-19,3.6375861597263857
2015-10-20,3.044522437723423
2015-10-21,4.189654742026425
2015-10-22,3.6375861597263857
2015-10-23,3.1780538303479458
2015-10-26,3.7612001156935624
2015-10-27,3.367295829986474
2015-10-28,3.5553480614894135
2015-10-29,3.6109179126442243
2015-10-30,3.7612001156935624
2015-11-02,3.871201010907891
2015-11-03,3.295836866004329
2015-11-04,4.204692619390966
2015-11-05,4.07753744390572
2015-11-06,3.4965075614664802
2015-11-09,3.4965075614664802
2015-11-10,3.1780538303479458
2015-11-11,4.127134385045092
2015-11-12,2.995732273553991
2015-11-13,3.8918202981106265
2015-11-16,2.833213344056216
2015-11-17,2.5649493574615367
2015-11-18,4.31748811353631
2015-11-19,3.713572066704308
2015-11-20,3.713572066704308
2015-11-23,4.0943445622221
2015-11-24,3.4965075614664802
2015-11-25,4.1588830833596715
2015-11-30,4.007333185232471
2015-12-01,3.784189633918261
2015-12-02,4.653960350157523
2015-12-03,4.276666119016055
2015-12-04,3.6375861597263857
2015-12-07,3.4657359027997265
2015-12-08,4.04305126783455
2015-12-09,3.5553480614894135
2015-12-10,2.3978952727983707
2015-12-11,4.110873864173311
2015-12-14,3.6888794541139363
2015-12-15,3.713572066704308
2015-12-16,3.6109179126442243
2015-12-17,3.367295829986474
2015-12-18,3.5553480614894135
2015-12-21,3.367295829986474
2015-12-22,2.995732273553991
2015-12-23,3.1780538303479458
2015-12-24,2.8903717578961645
2015-12-28,4.219507705176107
2015-12-29,4.48863636973214
2015-12-30,4.584967478670572
2015-12-31,5.14166355650266
2016-01-04,5.2832037287379885
2016-01-05,4.941642422609304
2016-01-06,5.356586274672012
2016-01-07,4.983606621708336
2016-01-08,4.882801922586371
2016-01-11,4.04305126783455
2016-01-12,4.543294782270004
2016-01-13,5.332718793265369
2016-01-14,4.330733340286331
2016-01-15,4.836281906951478
2016-01-19,4.382026634673881
2016-01-20,4.007333185232471
2016-01-21,4.6913478822291435
2016-01-22,4.418840607796598
2016-01-25,4.31748811353631
2016-01-26,4.07753744390572
2016-01-27,4.290459441148391
2016-01-28,4.51085950651685
2016-01-29,4.574710978503383
2016-02-01,4.382026634673881
2016-02-02,4.189654742026425
2016-02-03,4.532599493153256
2016-02-04,4.2626798770413155
2016-02-05,4.02535169073515
2016-02-08,4.204692619390966
2016-02-09,3.7376696182833684
2016-02-10,4.127134385045092
2016-02-11,3.7376696182833684
2016-02-12,4.143134726391533
2016-02-16,4.07753744390572
2016-02-17,4.007333185232471
2016-02-18,3.367295829986474
2016-02-19,3.9512437185814275
2016-02-22,3.367295829986474
2016-02-23,3.6109179126442243
2016-02-24,4.418840607796598
2016-02-25,3.8918202981106265
2016-02-26,3.970291913552122
2016-02-29,4.0943445622221
2016-03-01,4.394449154672439
2016-03-02,3.713572066704308
2016-03-03,4.430816798843313
2016-03-04,3.9512437185814275
2016-03-07,4.007333185232471
2016-03-08,4.007333185232471
2016-03-09,3.6635616461296463
2016-03-10,4.02535169073515
2016-03-11,3.8918202981106265
2016-03-14,3.7612001156935624
2016-03-15,3.5553480614894135
2016-03-16,3.8501476017100584
2016-03-17,3.713572066704308
2016-03-18,3.7612001156935624
2016-03-21,3.6375861597263857
2016-03-22,3.332204510175204
2016-03-23,3.7612001156935624
2016-03-24,4.0943445622221
2016-03-25,3.912023005428146
2016-03-28,3.9889840465642745
2016-03-29,3.828641396489095
2016-03-30,3.713572066704308
2016-03-31,3.8918202981106265
2016-04-01,4.04305126783455
2016-04-04,3.332204510175204
2016-04-05,4.499809670330265
2016-04-06,3.5263605246161616
2016-04-07,3.784189633918261
2016-04-08,3.332204510175204
2016-04-11,3.871201010907891
2016-04-12,3.7376696182833684
2016-04-13,3.713572066704308
2016-04-14,3.8918202981106265
2016-04-15,3.4965075614664802
2016-04-18,3.4965075614664802
2016-04-19,4.110873864173311
2016-04-20,3.4657359027997265
