ds,t,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,seasonal_lower,seasonal_upper,yearly,yearly_lower,yearly_upper,seasonal,yhat
2015-09-30,0.10086956521739131,11.251741956509305,-13.60481378635044,39.79468993038223,11.251741956509303,11.251741956509303,2.7317315642870974,2.7317315642870974,2.7317315642870974,2.7317315642870974,2.7317315642870974,2.7317315642870974,13.983473520796402
2015-10-01,0.10260869565217391,11.31079819564955,-13.513697530436849,39.014143585047435,11.31079819564955,11.31079819564955,2.967733426645375,2.967733426645375,2.967733426645375,2.967733426645375,2.967733426645375,2.967733426645375,14.278531622294924
2015-10-02,0.10434782608695652,11.369854434789795,-12.377367759833055,41.91506383497709,11.369854434789795,11.369854434789795,3.100235804582604,3.100235804582604,3.100235804582604,3.100235804582604,3.100235804582604,3.100235804582604,14.4700902393724
2015-10-05,0.10956521739130434,11.54702315221053,-10.66486797797048,41.140040689977674,11.54702315221053,11.54702315221053,2.812040557592073,2.812040557592073,2.812040557592073,2.812040557592073,2.812040557592073,2.812040557592073,14.359063709802603
2015-10-06,0.11130434782608696,11.606079391350775,-12.563225902582086,39.80914510472211,11.606079391350775,11.606079391350775,2.479294934352736,2.479294934352736,2.479294934352736,2.479294934352736,2.479294934352736,2.479294934352736,14.085374325703512
2015-10-07,0.11304347826086956,11.66513563049102,-12.692640947874118,38.2755038100452,11.66513563049102,11.66513563049102,2.031373635702942,2.031373635702942,2.031373635702942,2.031373635702942,2.031373635702942,2.031373635702942,13.696509266193964
2015-10-08,0.11478260869565217,11.724191869631266,-11.799525805092129,39.52760598534588,11.724191869631266,11.724191869631266,1.4745975688654362,1.4745975688654362,1.4745975688654362,1.4745975688654362,1.4745975688654362,1.4745975688654362,13.198789438496702
2015-10-09,0.11652173913043479,11.78324810877151,-14.750663460887875,39.725125903285374,11.78324810877151,11.78324810877151,0.8181519101540994,0.8181519101540994,0.8181519101540994,0.8181519101540994,0.8181519101540994,0.8181519101540994,12.60140001892561
2015-10-12,0.12173913043478261,11.960416826192246,-16.32070345441888,38.75805362303587,11.960416826192246,11.960416826192246,-1.6182967436538123,-1.6182967436538123,-1.6182967436538123,-1.6182967436538123,-1.6182967436538123,-1.6182967436538123,10.342120082538433
2015-10-13,0.12347826086956522,12.019473065332491,-17.888896800134905,37.58076628561045,12.019473065332491,12.019473065332491,-2.531452372011737,-2.531452372011737,-2.5314523720117372,-2.5314523720117372,-2.5314523720117372,-2.5314523720117372,9.488020693320754
2015-10-14,0.12521739130434784,12.078529304472736,-17.317703524128916,33.5819089601839,12.078529304472735,12.078529304472735,-3.4634948295777375,-3.4634948295777375,-3.4634948295777375,-3.4634948295777375,-3.4634948295777375,-3.4634948295777375,8.615034474895
2015-10-15,0.12695652173913044,12.13758554361298,-19.641682024602723,35.64663660046675,12.13758554361298,12.13758554361298,-4.393792523510767,-4.393792523510767,-4.393792523510767,-4.393792523510767,-4.393792523510767,-4.393792523510767,7.743793020102213
