ds,t,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,seasonal_lower,seasonal_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,seasonal,yhat
2015-08-11,0.0,-0.661872562938785,-0.48167052366257734,0.9603910065822917,-0.661872562938785,-0.661872562938785,0.864510083686753,0.864510083686753,0.5895221238630681,0.5895221238630681,0.5895221238630681,0.27498795982368507,0.27498795982368507,0.27498795982368507,0.8645100836867532,0.20263752074796815
2015-08-27,0.02821869488536155,-0.494835081468244,-0.523044822445895,1.0084550057706796,-0.494835081468244,-0.494835081468244,0.698883808997391,0.698883808997391,0.6663531873121379,0.6663531873121379,0.6663531873121379,0.03253062168525309,0.03253062168525309,0.03253062168525309,0.698883808997391,0.204048727529147
2015-08-31,0.03527336860670194,-0.4530757111006088,-0.5131742487862377,1.0335175822647,-0.4530757111006088,-0.4530757111006088,0.6869701496090339,0.6869701496090339,0.6831527081968636,0.6831527081968636,0.6831527081968636,0.003817441412170443,0.003817441412170443,0.003817441412170443,0.686970149609034,0.23389443850842523
2015-09-03,0.04056437389770723,-0.4217561833248823,-0.49352474509128025,1.0663939755046987,-0.4217561833248823,-0.4217561833248823,0.6682177321867435,0.6682177321867435,0.6663531873108132,0.6663531873108132,0.6663531873108132,0.0018645448759303694,0.0018645448759303694,0.0018645448759303694,0.6682177321867435,0.24646154886186122
2015-09-14,0.059964726631393295,-0.3069179148138854,-0.3691659961272578,1.1490748954681351,-0.3069179148138854,-0.3069179148138854,0.6909783196106926,0.6909783196106926,0.6831527081936795,0.6831527081936795,0.6831527081936795,0.00782561141701307,0.00782561141701307,0.00782561141701307,0.6909783196106926,0.38406040479680714
2015-09-15,0.06172839506172839,-0.2964780722219766,-0.47839734526981276,1.046276295151865,-0.2964780722219766,-0.2964780722219766,0.5883552000952803,0.5883552000952803,0.589522123860224,0.589522123860224,0.589522123860224,-0.0011669237649435294,-0.0011669237649435294,-0.0011669237649435294,0.5883552000952804,0.29187712787330383
2015-09-16,0.06349206349206349,-0.28603822963006775,-0.46277378853701423,1.0102769520575787,-0.28603822963006775,-0.28603822963006775,0.5746896522189309,0.5746896522189309,0.587435021505597,0.587435021505597,0.587435021505597,-0.012745369286666294,-0.012745369286666294,-0.012745369286666294,0.5746896522189308,0.288651422588863
2015-10-06,0.09876543209876543,-0.07724137779189151,-0.6149701747245798,0.8812239575704269,-0.07724137779189151,-0.07724137779189151,0.19574971360208054,0.19574971360208054,0.5895221238552774,0.5895221238552774,0.5895221238552774,-0.39377241025319687,-0.39377241025319687,-0.39377241025319687,0.1957497136020805,0.11850833581018898
2015-11-23,0.18342151675485008,0.42387106661973145,-0.4051280103492981,1.1153352198226367,0.4238710666197314,0.4238710666197314,-0.03769275434008307,-0.03769275434008307,0.6831527081894473,0.6831527081894473,0.6831527081894473,-0.7208454625295303,-0.7208454625295303,-0.7208454625295303,-0.03769275434008301,0.38617831227964844
2015-12-03,0.20105820105820105,0.5282694925388196,-0.3704331419378006,1.1370887379237147,0.5282694925388196,0.5282694925388196,-0.13075897509555603,-0.13075897509555603,0.666353187311097,0.666353187311097,0.666353187311097,-0.7971121624066531,-0.7971121624066531,-0.7971121624066531,-0.130758975095556,0.3975105174432636
2015-12-07,0.20811287477954143,0.5700288629064549,-0.36011435969448397,1.12800703002807,0.5700288629064549,0.5700288629064549,-0.22805660335063452,-0.22805660335063452,0.6831527081918825,0.6831527081918825,0.6831527081918825,-0.911209311542517,-0.911209311542517,-0.911209311542517,-0.2280566033506346,0.34197225955582033
2015-12-09,0.21164021164021163,0.5909085480542706,-0.5849768991367688,1.023064622045748,0.5909085480542706,0.5909085480542706,-0.3820047083286734,-0.3820047083286734,0.5874350215114319,0.5874350215114319,0.5874350215114319,-0.9694397298401054,-0.9694397298401054,-0.9694397298401054,-0.3820047083286735,0.20890383972559712
2015-12-11,0.21516754850088182,0.6117882332020864,-0.7560440746287812,0.7687881526446048,0.6117882332020864,0.6117882332020864,-0.5808084462268446,-0.5808084462268446,0.4392597431917889,0.4392597431917889,0.4392597431917889,-1.0200681894186334,-1.0200681894186334,-1.0200681894186334,-0.5808084462268446,0.03097978697524184
2015-12-14,0.2204585537918871,0.6431077609238101,-0.450876159324416,1.0624133027972054,0.6431077609238101,0.6431077609238101,-0.38605590114890126,-0.38605590114890126,0.6831527081933253,0.6831527081933253,0.6831527081933253,-1.0692086093422264,-1.0692086093422264,-1.0692086093422264,-0.3860559011489011,0.25705185977490896
2015-12-16,0.2239858906525573,0.663987446071626,-0.6550256282427096,0.9497531859783916,0.663987446071626,0.663987446071626,-0.49041250897242106,-0.49041250897242106,0.5874350215069214,0.5874350215069214,0.5874350215069214,-1.0778475304793425,-1.0778475304793425,-1.0778475304793425,-0.49041250897242106,0.1735749370992049
2015-12-17,0.2257495590828924,0.6744272886455338,-0.5021217650304709,1.0115769058645623,0.6744272886455338,0.6744272886455338,-0.40765865246157884,-0.40765865246157884,0.6663531873084475,0.6663531873084475,0.6663531873084475,-1.0740118397700258,-1.0740118397700258,-1.0740118397700258,-0.4076586524615783,0.2667686361839555
2015-12-18,0.2275132275132275,0.6848671312194418,-0.6832125941446179,0.8608491637134796,0.6848671312194418,0.6848671312194418,-0.6253894185690548,-0.6253894185690548,0.43925974319312355,0.43925974319312355,0.43925974319312355,-1.0646491617621785,-1.0646491617621785,-1.0646491617621785,-0.62538941856905494,0.059477712650386816
