ds,t,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,seasonal_lower,seasonal_upper,yearly,yearly_lower,yearly_upper,seasonal,yhat
2015-08-03,0.0,4.369972803453491,3.6769832340398056,5.0766489878004695,4.369972803453491,4.369972803453491,0.03015011405685327,0.03015011405685327,0.030150114056853267,0.030150114056853267,0.030150114056853267,0.030150114056853267,4.400122917510345
2015-08-04,0.0017391304347826088,4.367273671483637,3.6329187239011707,5.016783561500972,4.367273671483637,4.367273671483637,-0.0210173309497285,-0.0210173309497285,-0.0210173309497285,-0.0210173309497285,-0.0210173309497285,-0.0210173309497285,4.346256340533908
2015-08-05,0.0034782608695652175,4.3645745395137805,3.6018561106635016,4.978475132074518,4.3645745395137805,4.3645745395137805,-0.07293259432128255,-0.07293259432128255,-0.07293259432128255,-0.07293259432128255,-0.07293259432128255,-0.07293259432128255,4.291641945192498
2015-08-06,0.0052173913043478265,4.361875407543925,3.554390785252225,4.857125325914731,4.361875407543925,4.361875407543925,-0.12528065500891652,-0.12528065500891652,-0.12528065500891652,-0.12528065500891652,-0.12528065500891652,-0.12528065500891652,4.236594752535009
2015-08-07,0.006956521739130435,4.35917627557407,3.5118116629524985,4.870616366204264,4.35917627557407,4.35917627557407,-0.1777335605691111,-0.1777335605691111,-0.1777335605691111,-0.1777335605691111,-0.1777335605691111,-0.1777335605691111,4.181442715004959
2015-08-10,0.01217391304347826,4.351078879664503,3.3947932314396936,4.684393775204096,4.351078879664503,4.351078879664503,-0.33231356039062715,-0.33231356039062715,-0.33231356039062715,-0.33231356039062715,-0.33231356039062715,-0.33231356039062715,4.018765319273876
2015-08-11,0.01391304347826087,4.348379747694648,3.3269891333492776,4.61872611419871,4.348379747694648,4.348379747694648,-0.38176018452107774,-0.38176018452107774,-0.38176018452107774,-0.38176018452107774,-0.38176018452107774,-0.38176018452107774,3.96661956317357
2015-08-12,0.01565217391304348,4.345680615724793,3.236741289005102,4.572859590206449,4.345680615724793,4.345680615724793,-0.4295947312257166,-0.4295947312257166,-0.4295947312257166,-0.4295947312257166,-0.4295947312257166,-0.4295947312257166,3.916085884499076
2015-08-13,0.017391304347826087,4.342981483754937,3.1715002842841624,4.526597648167601,4.342981483754937,4.342981483754937,-0.47548581024313574,-0.47548581024313574,-0.4754858102431357,-0.4754858102431357,-0.4754858102431357,-0.4754858102431357,3.867495673511802
2015-08-14,0.019130434782608695,4.340282351785082,3.158331205266931,4.474377841844054,4.340282351785082,4.340282351785082,-0.519116199498445,-0.519116199498445,-0.519116199498445,-0.519116199498445,-0.519116199498445,-0.519116199498445,3.8211661522866374
2015-08-17,0.02434782608695652,4.332184955875515,3.0534243228936986,4.3673300857294475,4.332184955875515,4.332184955875515,-0.6335796424074016,-0.6335796424074016,-0.6335796424074016,-0.6335796424074016,-0.6335796424074016,-0.6335796424074016,3.698605313468114
2015-08-18,0.02608695652173913,4.32948582390566,2.962828359367569,4.295702982396815,4.32948582390566,4.32948582390566,-0.6654378939351796,-0.6654378939351796,-0.6654378939351796,-0.6654378939351796,-0.6654378939351796,-0.6654378939351796,3.6640479299704807
2015-08-19,0.02782608695652174,4.326786691935805,2.9990931365131304,4.270115761688494,4.326786691935805,4.326786691935805,-0.6938197110166393,-0.6938197110166393,-0.6938197110166393,-0.6938197110166393,-0.6938197110166393,-0.6938197110166393,3.6329669809191656
2015-08-20,0.029565217391304348,4.32408755996595,2.948461239321324,4.328551077319228,4.32408755996595,4.32408755996595,-0.7185851308933942,-0.7185851308933942,-0.7185851308933942,-0.7185851308933942,-0.7185851308933942,-0.7185851308933942,3.6055024290725557
2015-08-21,0.03130434782608696,4.32138842796059,2.891408875507631,4.237483359795842,4.32138842796059,4.32138842796059,-0.7396366395900634,-0.7396366395900634,-0.7396366395900634,-0.7396366395900634,-0.7396366395900634,-0.7396366395900634,3.5817517883705268
2015-08-24,0.036521739130434785,4.313291031944512,2.8875966090366907,4.210466521068726,4.313291031944512,4.313291031944512,-0.7802145081688836,-0.7802145081688836,-0.7802145081688836,-0.7802145081688836,-0.7802145081688836,-0.7802145081688836,3.5330765237756285
2015-08-25,0.03826086956521739,4.310591899939154,2.893580021977933,4.199610066442384,4.310591899939154,4.310591899939154,-0.7863527045181244,-0.7863527045181244,-0.7863527045181244,-0.7863527045181244,-0.7863527045181244,-0.7863527045181244,3.5242391954210293
2015-08-26,0.04,4.307892767933795,2.914247305460896,4.1408334653242065,4.307892767933795,4.307892767933795,-0.7889839694899865,-0.7889839694899865,-0.7889839694899865,-0.7889839694899865,-0.7889839694899865,-0.7889839694899865,3.518908798443808
2015-08-27,0.04173913043478261,4.305193635928435,2.8613728132466627,4.171883446829441,4.305193635928435,4.305193635928435,-0.7882890376238061,-0.7882890376238061,-0.7882890376238061,-0.7882890376238061,-0.7882890376238061,-0.7882890376238061,3.516904598304629
2015-08-28,0.043478260869565216,4.302494503923075,2.848304860029998,4.164590240752148,4.302494503923075,4.302494503923075,-0.7844911719782346,-0.7844911719782346,-0.7844911719782346,-0.7844911719782346,-0.7844911719782346,-0.7844911719782346,3.5180033319448407
2015-08-31,0.04869565217391304,4.294397107906998,2.8344899174977263,4.212928139121278,4.294397107906998,4.294397107906998,-0.7572722280272506,-0.7572722280272506,-0.7572722280272506,-0.7572722280272506,-0.7572722280272506,-0.7572722280272506,3.537124879879747
